keywords,answer
"name|who are you|your name","I'm Subham Mondal, a full stack developer building modern web experiences."
"role|what do you do|profession","I work as a Full Stack Developer focused on React, Node.js, and Python."
"location|where are you|city","I'm based in Kolkata, India."
"email|contact|reach you","Email me at sjxsubham@gmail.com."
"skills|tech stack|stack","My core stack includes React, Node.js, and Python (plus modern tooling)."
"projects|work|portfolio","Check the Projects window for my latest work and highlights."
"github|repositories","GitHub: https://github.com/SjxSubham"
"linkedin","LinkedIn: https://www.linkedin.com/in/subham-mondal-914b0b2b8"
"leetcode|dsa|problem solving","LeetCode: https://leetcode.com/u/Sjx_Subham/"
"availability|status","I'm currently available for work."
"languages|spoken","I speak English, Hindi, and Bengali."
